ID,Text,Label
1,i wouldn t say i feel homesick really but i miss being in the circle knowing what is going on in the family having that sense of community,sadness
2,i feel devastated with the situation that i have placed you,sadness
3,i feel like a messy drawer hats been straightened up,sadness
4,i feel alone all the time and he just happened to be there,sadness
5,i feel like he was miserable because im happy,sadness
6,i just feel so disillusioned about singaporeans and their mind our own business attitude that has already crept into our subconcious and become the way of life,sadness
7,i feel as though all of my characters are boring too mainstream or just,sadness
8,i feel horrible that i am questioning him and his wisdom part of my catholic upbringing i guess,sadness
9,i woke up with a gut feeling of being so guilty,sadness
10,i am trying to get at has nothing to really do with feeling rejected but the way people go about doing it,sadness
11,i feel like such a neglectful mother i know its all just for attention,sadness
12,i suddenly crumble and get immediate feelings of being disliked or bad,sadness
13,im feeling a little sentimental tonight,sadness
14,i left brakpan police station feeling disheartened,sadness
15,i hate it i know i can feel but when you love it you know its not real no and i am resigned to this wicked fucking world on its way to hell the living are dead and i hope to join them too i know what to do and i do it well,sadness
16,i am feeling like a bit of a dull fucker at the moment,sadness
17,i have so many people around me and yet i feel alone,sadness
18,i feel damaged and broken over this and i have been for so long,sadness
19,i feel really needy right now like i could talk a friends ear off,sadness
20,i am feeling heartbroken all the same,sadness
21,i feel on the inside pretty crappy and i am finding i dont think the outside is looking so hot either,sadness
22,i feel beaten,sadness
23,im feeling rotten today a href http www,sadness
24,i feel like i am being punished a class post count link href http littlecyndilou,sadness
25,i have a great life an easy life and as ever i feel a little stupid about my doldrums,sadness
26,i still need to write lilah s two year birthday post and i m going to backdate it because i feel like a neglectful mama but i wanted to post a few cute photos from her birthday party,sadness
27,im dealing with are not the end of the world but ive been battling so much that i just feel drained ineffective and done,sadness
28,i sit quietly trying to get other work done but feeling largely useless,sadness
29,i want to tell him so he doesnt feel like he missed anything but i dont think he thinks he needs a replay of every event,sadness
30,i feel even more useless because i cannot get that person back i cant even get him to talk,sadness
31,im feeling awfully disturbed today aucs as u can see,sadness
32,i umenyiora feels disrespected facebook a rel nofollow target blank class share delicious href http del,sadness
33,i mentioned in my previous post i was feeling pretty rotten after that mile hike last saturday,sadness
34,i feel a bit dull,sadness
