ID,Text,Label
1,i feel like i ve complained about the aching legs an awful lot lately,sadness
2,i left nj a litle more than three weeks ago and being back here for four days already makes me feel dull and desperate,sadness
3,i feel anguished,sadness
4,i have being feeling all these while i broke down terribly and just look whose still there for me,sadness
5,i feel jaded a good deal of palates mine incorporated,sadness
6,i also hate feeling like im getting punished for,sadness
7,i ignore the feelings until i hear about some tragic death and then everything comes flooding back to me and i cant get him out of my mind for days weeks,sadness
8,im not exactly sure what to do about these feeling of discontent but im pretty sure i will remain thinking about it until i reach some sort of resolution,sadness
9,i will never make him feel disliked and like he is a bad kid if he is only acting according to how i raised him and he is acting liek a year old child,sadness
10,i feel crappy although last night was much better,sadness
11,i was in my ford escape the other day and got the overwhelming feeling of discontent wondering out loud how much i could get for a trade in,sadness
12,i don t feel too troubled about this,sadness
13,i left feeling unexplainably depressed hard to breathe and reluctant to get up this morning,sadness
14,i feel so useless like really useless,sadness
15,i found myself feeling rather ungrateful,sadness
16,i catch myself feeling melancholy do i miss you now that youre going,sadness
17,i feel appropriately disturbed by the project,sadness
18,i am feeling very melancholy and was weepy when i left thomas and brian,sadness
19,i lost lbs kids ago or the other times ive dropped lbs at a time this time im not doing without food of feeling deprived,sadness
20,i started my week out feeling a little discouraged,sadness
21,i don t feel low or down,sadness
22,i am feeling sorry for myself i know i have so many things to be thankful for,sadness
23,i kept doing that tonight and its crazy so i feel all abused and scared tonight,sadness
24,i feel so lousy many times,sadness
25,i was feeling a little bit awkward as the employees were starting to put chairs up and mop the floor so i packed up my computer notebook and planner and threw on my jacket,sadness
26,i share this little story this morning as an encouragement to anyone who has had a moment in life recently that didn t quite go as desired or one who is feeling a bit melancholy themselves,sadness
27,ive been feeling increasingly lethargic due to the sudden sugary turn my diet has taken as ive been celebrating the holidays with my family,sadness
28,i settle in other ways based on feeling worthless,sadness
29,i always tend to feel a little homesick when moving into a new place and i like having time to unpack and make it feel more homey as quickly as possible,sadness
30,im hoping that everything starts kicking in soon and life starts feeling less like an ugly ugly chore,sadness
31,when i was accused of neglecting work for the wrong reasons,sadness
32,i feel anger anxiety disturbed,sadness
33,i read my several of my latest postings i got the feeling that others may view my words as being ungrateful for the gift of prayer,sadness
34,i do not feel discontent but nervous as if the best is yet to come,sadness
35,i really wish i could tell people how i feel sometimes but its either pathetic or i sound mentally unstable,sadness
