ID,Text,Label
1,i wouldn t say i feel homesick really but i miss being in the circle knowing what is going on in the family having that sense of community,sadness
2,i feel as if im being too needy and unworthy of care,sadness
3,i let a few people read a few pages when i m feeling rotten about my work and need encouragement,sadness
4,i used to be a bright light i used to shine the way but im fading every day im just crooked teeth and bad tattoos thats all ill ever be to you and i feel so awkward in my skin we all live in the shadows of the statues of our former selves,sadness
5,i know i know its riveting stuff sorry for the lack of effort this month but i have a feeling no one is all that disappointed,sadness
6,i open it i feel like it was empty,sadness
7,i go there whenever i feel gloomy,sadness
8,i feel i m the one being abused here mentally,sadness
9,i found myself feeling rather ungrateful,sadness
10,i dont know that well ever resolve our differences on earth but i feel less burdened with a need for it,sadness
11,i feel unimportant a trifle the brume of society,sadness
12,im feeling a little bummed and ignored right now,sadness
13,i have been feeling kind of lame at work lately,sadness
14,i was feeling so miserable that i wanted everyone to feel that way too,sadness
15,i feel terrible for elizabeth fechtel,sadness
16,i began to feel more and more emotional i decided it was time to just turn off all the lights darken the room and spend time healing resting and mourning with only my husband to see,sadness
17,i don t feel as troubled and stigmatize as i felt i was so the site doesn t really reflect me anymore,sadness
18,i guess what im saying is that ive gotten way more self conscious about blogging than i used to be and i feel ashamed of that,sadness
19,im starting to feel the abused child syndrome again,sadness
20,i actually enjoy my job because i can do it for free however i feel my passion is suffering because of my career confused,sadness
21,i lie in bed or is it a coffin it feels more like a coffin not altogether unpleasant just very still i push my legs together and cross my hands i try not to cry i sink downwards hoping for a prick a poke a tube of fluid a needle of,sadness
22,i hear the swish and feel the bite of this whip as she swings it against my unprotected balls making them dance with every lash,sadness
23,i might hate feeling awkward and encumbered and stretched and sore all the time,sadness
24,i see leaders friends people i look up to strangers in the faith all loosing their lives and i honestly feel a bit discouraged,sadness
25,my girlfriend left me,sadness
26,i believe you will be here with me to assist me in staying strong and courageous throughout all the trials struggles and issues and i praise you for not allowing me to be afraid or feeling discouraged if things don t seem to be progressing in my time,sadness
27,i feel shitty for no real reason and then i get even more upset at myself for feeling that way,sadness
28,i was feeling quite beaten up,sadness
29,i know in my logical head i have absolutely nothing to feel sad about but i feel it anyway,sadness
30,i refuse to feel ashamed because i wasnt aglow in the joy of doing halloween for the fifth time,sadness
31,i hated the fact that i cried for someone who didnt deserve my tears and i hated the fact that i have become a weak person by feeling helpless,sadness
32,i feel ashamed of and purely disgusted by,sadness
33,i have been feeling low,sadness
34,i wish i didnt feel the urge to transform myself to hide the pain to dwell on what ifs i find it more than a little tragic that i know exactly the things i am doing wrong yet i cant seem to muster enough motivation to alter them more than what suits my comfort zone,sadness
35,i feel awkward around amp about them perhaps not the poems but the collections they are it feels as if vain author is always opposed subsequently by a recondite governor by which time its too late,sadness
36,i feel like i have been punished by the shunned for not being part of the group,sadness
37,i have a feeling i m not alone in that,sadness
38,i feel humiliated and embarrassed,sadness
39,im feeling groggy sleepy yet i cant sleep,sadness
40,i feel so worthless in your eyes,sadness
41,i feel like i win when i lose waterloo i was defeated you won the war waterloo promise to love you for ever more waterloo couldnt escape if i wanted to waterloo knowing my fate is to be with you waterloo finally facing my waterloo knowing my fate is to be with you,sadness
42,i are both feeling in such a way that we are completely and inevitably defeated,sadness
43,i have been crying a lot and feeling kind of depressed,sadness
44,id pronounce it as the f word or as yeah depending on how i feel that day i have a dirty mouth i know but i consider myself outspoken and not afraid of saying what i actually think,sadness
45,i cant feel jaded about keegan anymore because he needs to learn his own lessons and if we lose each other in the process well deal with that as it comes,sadness
46,i started this blog to first help me deal and maybe touch someone feeling as hopeless,sadness
47,i do not know how a lot of occasions they beat that drum but i feel like it was beaten a little as well heavily,sadness
48,i feel pretty resigned to the fact that unless hes willing to step up his commitment level im not willing to put myself several states away to just live with him without any promises for a real future,sadness
49,i feel quite boring but there s nothing exciting,sadness
50,i watched myself go through the motions the way i responded to the collapsed feeling in my chest and the unpleasant scratchy constricted feeling in the back of my throat,sadness
51,i admit sometimes i feel defeated by the symptoms,sadness
52,i feel hopeless to resolve these issues,sadness
53,i feel devastated and help hellip,sadness
54,i can t help but feel disturbed and almost wronged when i feel somebody s doing something inappropriate with their lives,sadness
55,i dont know why i feel so gloomy and wretched these days,sadness
56,i feel like im lost ive never seen them in years and its awful,sadness
